"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B19301_001",28934,214
"02","Alaska","B19301_001",37094,383
"04","Arizona","B19301_001",32340,182
"05","Arkansas","B19301_001",27724,245
"06","California","B19301_001",38576,120
"08","Colorado","B19301_001",39545,212
"09","Connecticut","B19301_001",45668,293
"10","Delaware","B19301_001",36574,493
"11","District of Columbia","B19301_001",58659,827
"12","Florida","B19301_001",32848,160
"13","Georgia","B19301_001",32427,189
"15","Hawaii","B19301_001",37013,387
"16","Idaho","B19301_001",29494,327
"17","Illinois","B19301_001",37306,155
"18","Indiana","B19301_001",30693,166
"19","Iowa","B19301_001",33021,226
"20","Kansas","B19301_001",32798,198
"21","Kentucky","B19301_001",29123,208
"22","Louisiana","B19301_001",29522,268
"23","Maine","B19301_001",33774,307
"24","Maryland","B19301_001",43352,217
"25","Massachusetts","B19301_001",45555,231
"26","Michigan","B19301_001",32854,142
"27","Minnesota","B19301_001",38881,170
"28","Mississippi","B19301_001",25444,208
"29","Missouri","B19301_001",31839,172
"30","Montana","B19301_001",32463,401
"31","Nebraska","B19301_001",33205,275
"32","Nevada","B19301_001",32629,283
"33","New Hampshire","B19301_001",41234,345
"34","New Jersey","B19301_001",44153,191
"35","New Mexico","B19301_001",27945,223
"36","New York","B19301_001",40898,167
"37","North Carolina","B19301_001",31993,182
"38","North Dakota","B19301_001",36289,471
"39","Ohio","B19301_001",32465,120
"40","Oklahoma","B19301_001",29873,568
"41","Oregon","B19301_001",35393,226
"42","Pennsylvania","B19301_001",35518,159
"44","Rhode Island","B19301_001",37504,478
"45","South Carolina","B19301_001",30727,218
"46","South Dakota","B19301_001",31415,350
"47","Tennessee","B19301_001",30869,179
"48","Texas","B19301_001",32177,121
"49","Utah","B19301_001",30986,211
"50","Vermont","B19301_001",35854,445
"51","Virginia","B19301_001",41255,272
"53","Washington","B19301_001",40837,198
"54","West Virginia","B19301_001",27346,273
"55","Wisconsin","B19301_001",34450,171
"56","Wyoming","B19301_001",34415,620
"72","Puerto Rico","B19301_001",13318,113
