"GEOID","NAME","variable","estimate","moe","average"
"01","Alabama","B08136_001",50359400,365196,25.1500355330887
"02","Alaska","B08136_001",6250965,107336,18.9306729496704
"04","Arizona","B08136_001",74646265,443232,25.7609310842495
"05","Arkansas","B08136_001",26956185,214114,21.7722195299249
"06","California","B08136_001",498276585,1174085,29.8187175553607
"08","Colorado","B08136_001",67224980,374536,25.8091264323158
"09","Connecticut","B08136_001",43838220,311817,26.7012017855936
"10","Delaware","B08136_001",10998645,149290,26.212214013346
"11","District of Columbia","B08136_001",10280220,121162,30.9069863927989
"12","Florida","B08136_001",246298015,952727,27.9321719066089
"13","Georgia","B08136_001",128631090,696696,28.7399783496828
"15","Hawaii","B08136_001",17794980,188690,27.0587233499026
"16","Idaho","B08136_001",15752460,207055,21.1565947902467
"17","Illinois","B08136_001",164929595,812306,29.0030619205374
"18","Indiana","B08136_001",71270140,453116,23.8685853930707
"19","Iowa","B08136_001",28871365,212890,19.4785007863221
"20","Kansas","B08136_001",26381875,192711,19.613274968534
"21","Kentucky","B08136_001",44125360,301769,23.7429955371604
"22","Louisiana","B08136_001",49507695,416330,25.8130875475122
"23","Maine","B08136_001",14778490,165517,24.2723544454317
"24","Maryland","B08136_001",92535455,418686,33.0496869697334
"25","Massachusetts","B08136_001",97551415,515573,30.0022866608478
"26","Michigan","B08136_001",105557240,455943,24.6131856068326
"27","Minnesota","B08136_001",63098885,294820,23.7691291191291
"28","Mississippi","B08136_001",30072720,336381,25.1935379016611
"29","Missouri","B08136_001",64720065,370998,23.9019816613781
"30","Montana","B08136_001",8646040,114004,18.3531099950328
"31","Nebraska","B08136_001",17542745,147771,18.9025164212813
"32","Nevada","B08136_001",32523260,257697,24.6090787199719
"33","New Hampshire","B08136_001",17972435,179307,27.3854409037647
"34","New Jersey","B08136_001",128475610,610129,31.990381143755
"35","New Mexico","B08136_001",18817440,218888,22.680932768764
"36","New York","B08136_001",287526290,1046958,33.4923763178482
"37","North Carolina","B08136_001",111195395,535514,24.9385861882506
"38","North Dakota","B08136_001",6680070,112274,17.5686366302235
"39","Ohio","B08136_001",122554945,498760,23.7345373452863
"40","Oklahoma","B08136_001",36865720,255135,22.0222829012096
"41","Oregon","B08136_001",42797590,287467,23.905902632702
"42","Pennsylvania","B08136_001",153412435,553977,27.1422764544091
"44","Rhode Island","B08136_001",12524235,167967,25.290551155662
"45","South Carolina","B08136_001",54667810,409586,25.1428906514095
"46","South Dakota","B08136_001",7105620,97576,17.2638305109454
"47","Tennessee","B08136_001",73924345,405850,25.4120606003521
"48","Texas","B08136_001",329257250,1084687,26.6140123630176
"49","Utah","B08136_001",30350155,210394,22.0115917454414
"50","Vermont","B08136_001",6832390,97418,23.3201698397854
"51","Virginia","B08136_001",110956265,540678,28.5698047475468
"53","Washington","B08136_001",92400305,456639,27.9777356700116
"54","West Virginia","B08136_001",18180565,201243,26.0824527072974
"55","Wisconsin","B08136_001",61094565,320254,22.2337822700564
"56","Wyoming","B08136_001",NA,NA,NA
"72","Puerto Rico","B08136_001",28231525,265469,29.1233098715776
